,product,date,region,sales
1850,pink morsel,2018-04-13,east,$1674.00
1851,pink morsel,2018-04-13,west,$1749.00
1876,pink morsel,2018-04-14,north,$1569.00
1877,pink morsel,2018-04-14,south,$1794.00
1878,pink morsel,2018-04-14,east,$1674.00
1879,pink morsel,2018-04-14,west,$1638.00
1904,pink morsel,2018-04-15,north,$1515.00
1905,pink morsel,2018-04-15,south,$1527.00
1906,pink morsel,2018-04-15,east,$1602.00
1907,pink morsel,2018-04-15,west,$1653.00
1932,pink morsel,2018-04-16,north,$1602.00
1933,pink morsel,2018-04-16,south,$1707.00
1934,pink morsel,2018-04-16,east,$1548.00
1935,pink morsel,2018-04-16,west,$1527.00
1960,pink morsel,2018-04-17,north,$1599.00
1961,pink morsel,2018-04-17,south,$1728.00
1962,pink morsel,2018-04-17,east,$1704.00
1963,pink morsel,2018-04-17,west,$1539.00
1988,pink morsel,2018-04-18,north,$1545.00
1989,pink morsel,2018-04-18,south,$1797.00
1990,pink morsel,2018-04-18,east,$1515.00
1991,pink morsel,2018-04-18,west,$1719.00
2016,pink morsel,2018-04-19,north,$1713.00
2017,pink morsel,2018-04-19,south,$1674.00
2018,pink morsel,2018-04-19,east,$1767.00
2019,pink morsel,2018-04-19,west,$1767.00
2044,pink morsel,2018-04-20,north,$1668.00
2045,pink morsel,2018-04-20,south,$1620.00
2046,pink morsel,2018-04-20,east,$1677.00
2047,pink morsel,2018-04-20,west,$1509.00
2072,pink morsel,2018-04-21,north,$1683.00
2073,pink morsel,2018-04-21,south,$1743.00
2074,pink morsel,2018-04-21,east,$1644.00
2075,pink morsel,2018-04-21,west,$1578.00
2100,pink morsel,2018-04-22,north,$1572.00
2101,pink morsel,2018-04-22,south,$1545.00
2102,pink morsel,2018-04-22,east,$1557.00
2103,pink morsel,2018-04-22,west,$1626.00
2128,pink morsel,2018-04-23,north,$1710.00
2129,pink morsel,2018-04-23,south,$1659.00
2130,pink morsel,2018-04-23,east,$1665.00
2131,pink morsel,2018-04-23,west,$1521.00
2156,pink morsel,2018-04-24,north,$1503.00
2157,pink morsel,2018-04-24,south,$1650.00
2158,pink morsel,2018-04-24,east,$1689.00
2159,pink morsel,2018-04-24,west,$1743.00
2184,pink morsel,2018-04-25,north,$1623.00
2185,pink morsel,2018-04-25,south,$1503.00
2186,pink morsel,2018-04-25,east,$1758.00
2187,pink morsel,2018-04-25,west,$1557.00
2212,pink morsel,2018-04-26,north,$1713.00
2213,pink morsel,2018-04-26,south,$1734.00
2214,pink morsel,2018-04-26,east,$1740.00
2215,pink morsel,2018-04-26,west,$1563.00
2240,pink morsel,2018-04-27,north,$1716.00
2241,pink morsel,2018-04-27,south,$1791.00
2242,pink morsel,2018-04-27,east,$1674.00
2243,pink morsel,2018-04-27,west,$1716.00
2268,pink morsel,2018-04-28,north,$1632.00
2269,pink morsel,2018-04-28,south,$1641.00
2270,pink morsel,2018-04-28,east,$1584.00
2271,pink morsel,2018-04-28,west,$1590.00
2296,pink morsel,2018-04-29,north,$1713.00
2297,pink morsel,2018-04-29,south,$1593.00
2298,pink morsel,2018-04-29,east,$1740.00
2299,pink morsel,2018-04-29,west,$1638.00
2324,pink morsel,2018-04-30,north,$1653.00
2325,pink morsel,2018-04-30,south,$1590.00
2326,pink morsel,2018-04-30,east,$1593.00
2327,pink morsel,2018-04-30,west,$1602.00
2352,pink morsel,2018-05-01,north,$1785.00
2353,pink morsel,2018-05-01,south,$1764.00
2354,pink morsel,2018-05-01,east,$1506.00
2355,pink morsel,2018-05-01,west,$1536.00
2380,pink morsel,2018-05-02,north,$1623.00
2381,pink morsel,2018-05-02,south,$1674.00
2382,pink morsel,2018-05-02,east,$1791.00
2383,pink morsel,2018-05-02,west,$1653.00
2408,pink morsel,2018-05-03,north,$1785.00
2409,pink morsel,2018-05-03,south,$1569.00
2410,pink morsel,2018-05-03,east,$1500.00
2411,pink morsel,2018-05-03,west,$1770.00
2436,pink morsel,2018-05-04,north,$1653.00
2437,pink morsel,2018-05-04,south,$1590.00
2438,pink morsel,2018-05-04,east,$1671.00
2439,pink morsel,2018-05-04,west,$1629.00
2464,pink morsel,2018-05-05,north,$1578.00
2465,pink morsel,2018-05-05,south,$1665.00
2466,pink morsel,2018-05-05,east,$1575.00
2467,pink morsel,2018-05-05,west,$1587.00
2492,pink morsel,2018-05-06,north,$1674.00
2493,pink morsel,2018-05-06,south,$1785.00
2494,pink morsel,2018-05-06,east,$1719.00
2495,pink morsel,2018-05-06,west,$1617.00
2520,pink morsel,2018-05-07,north,$1794.00
2521,pink morsel,2018-05-07,south,$1563.00
2522,pink morsel,2018-05-07,east,$1728.00
2523,pink morsel,2018-05-07,west,$1740.00
2548,pink morsel,2018-05-08,north,$1617.00
2549,pink morsel,2018-05-08,south,$1650.00
2550,pink morsel,2018-05-08,east,$1728.00
2551,pink morsel,2018-05-08,west,$1635.00
2576,pink morsel,2018-05-09,north,$1584.00
2577,pink morsel,2018-05-09,south,$1647.00
2578,pink morsel,2018-05-09,east,$1551.00
2579,pink morsel,2018-05-09,west,$1512.00
2604,pink morsel,2018-05-10,north,$1737.00
2605,pink morsel,2018-05-10,south,$1551.00
2606,pink morsel,2018-05-10,east,$1515.00
2607,pink morsel,2018-05-10,west,$1716.00
2632,pink morsel,2018-05-11,north,$1746.00
2633,pink morsel,2018-05-11,south,$1677.00
2634,pink morsel,2018-05-11,east,$1584.00
2635,pink morsel,2018-05-11,west,$1617.00
2660,pink morsel,2018-05-12,north,$1743.00
2661,pink morsel,2018-05-12,south,$1533.00
2662,pink morsel,2018-05-12,east,$1521.00
2663,pink morsel,2018-05-12,west,$1578.00
2688,pink morsel,2018-05-13,north,$1545.00
2689,pink morsel,2018-05-13,south,$1713.00
2690,pink morsel,2018-05-13,east,$1665.00
2691,pink morsel,2018-05-13,west,$1644.00
2716,pink morsel,2018-05-14,north,$1776.00
2717,pink morsel,2018-05-14,south,$1560.00
2718,pink morsel,2018-05-14,east,$1644.00
2719,pink morsel,2018-05-14,west,$1503.00
2744,pink morsel,2018-05-15,north,$1800.00
2745,pink morsel,2018-05-15,south,$1758.00
2746,pink morsel,2018-05-15,east,$1701.00
2747,pink morsel,2018-05-15,west,$1671.00
2772,pink morsel,2018-05-16,north,$1593.00
2773,pink morsel,2018-05-16,south,$1617.00
2774,pink morsel,2018-05-16,east,$1626.00
2775,pink morsel,2018-05-16,west,$1629.00
2800,pink morsel,2018-05-17,north,$1728.00
2801,pink morsel,2018-05-17,south,$1506.00
2802,pink morsel,2018-05-17,east,$1590.00
2803,pink morsel,2018-05-17,west,$1626.00
2828,pink morsel,2018-05-18,north,$1782.00
2829,pink morsel,2018-05-18,south,$1572.00
2830,pink morsel,2018-05-18,east,$1539.00
2831,pink morsel,2018-05-18,west,$1509.00
2856,pink morsel,2018-05-19,north,$1788.00
2857,pink morsel,2018-05-19,south,$1713.00
2858,pink morsel,2018-05-19,east,$1626.00
2859,pink morsel,2018-05-19,west,$1629.00
2884,pink morsel,2018-05-20,north,$1548.00
2885,pink morsel,2018-05-20,south,$1716.00
2886,pink morsel,2018-05-20,east,$1752.00
2887,pink morsel,2018-05-20,west,$1638.00
2912,pink morsel,2018-05-21,north,$1575.00
2913,pink morsel,2018-05-21,south,$1671.00
2914,pink morsel,2018-05-21,east,$1626.00
2915,pink morsel,2018-05-21,west,$1572.00
2940,pink morsel,2018-05-22,north,$1572.00
2941,pink morsel,2018-05-22,south,$1569.00
2942,pink morsel,2018-05-22,east,$1581.00
2943,pink morsel,2018-05-22,west,$1521.00
2968,pink morsel,2018-05-23,north,$1641.00
2969,pink morsel,2018-05-23,south,$1692.00
2970,pink morsel,2018-05-23,east,$1713.00
2971,pink morsel,2018-05-23,west,$1563.00
2996,pink morsel,2018-05-24,north,$1524.00
2997,pink morsel,2018-05-24,south,$1533.00
2998,pink morsel,2018-05-24,east,$1695.00
2999,pink morsel,2018-05-24,west,$1533.00
3024,pink morsel,2018-05-25,north,$1599.00
3025,pink morsel,2018-05-25,south,$1665.00
3026,pink morsel,2018-05-25,east,$1713.00
3027,pink morsel,2018-05-25,west,$1644.00
3052,pink morsel,2018-05-26,north,$1776.00
3053,pink morsel,2018-05-26,south,$1530.00
3054,pink morsel,2018-05-26,east,$1650.00
3055,pink morsel,2018-05-26,west,$1512.00
3080,pink morsel,2018-05-27,north,$1629.00
3081,pink morsel,2018-05-27,south,$1707.00
3082,pink morsel,2018-05-27,east,$1521.00
3083,pink morsel,2018-05-27,west,$1761.00
3108,pink morsel,2018-05-28,north,$1755.00
3109,pink morsel,2018-05-28,south,$1659.00
3110,pink morsel,2018-05-28,east,$1800.00
3111,pink morsel,2018-05-28,west,$1539.00
3136,pink morsel,2018-05-29,north,$1713.00
3137,pink morsel,2018-05-29,south,$1752.00
3138,pink morsel,2018-05-29,east,$1629.00
3139,pink morsel,2018-05-29,west,$1635.00
3164,pink morsel,2018-05-30,north,$1674.00
3165,pink morsel,2018-05-30,south,$1701.00
3166,pink morsel,2018-05-30,east,$1614.00
3167,pink morsel,2018-05-30,west,$1794.00
3192,pink morsel,2018-05-31,north,$1725.00
3193,pink morsel,2018-05-31,south,$1659.00
3194,pink morsel,2018-05-31,east,$1536.00
3195,pink morsel,2018-05-31,west,$1620.00
3220,pink morsel,2018-06-01,north,$1794.00
3221,pink morsel,2018-06-01,south,$1623.00
3222,pink morsel,2018-06-01,east,$1665.00
3223,pink morsel,2018-06-01,west,$1671.00
3248,pink morsel,2018-06-02,north,$1752.00
3249,pink morsel,2018-06-02,south,$1707.00
3250,pink morsel,2018-06-02,east,$1797.00
3251,pink morsel,2018-06-02,west,$1668.00
3276,pink morsel,2018-06-03,north,$1596.00
3277,pink morsel,2018-06-03,south,$1503.00
3278,pink morsel,2018-06-03,east,$1578.00
3279,pink morsel,2018-06-03,west,$1680.00
3304,pink morsel,2018-06-04,north,$1608.00
3305,pink morsel,2018-06-04,south,$1683.00
3306,pink morsel,2018-06-04,east,$1572.00
3307,pink morsel,2018-06-04,west,$1656.00
3332,pink morsel,2018-06-05,north,$1713.00
3333,pink morsel,2018-06-05,south,$1698.00
3334,pink morsel,2018-06-05,east,$1557.00
3335,pink morsel,2018-06-05,west,$1782.00
3360,pink morsel,2018-06-06,north,$1695.00
3361,pink morsel,2018-06-06,south,$1680.00
3362,pink morsel,2018-06-06,east,$1761.00
3363,pink morsel,2018-06-06,west,$1659.00
3388,pink morsel,2018-06-07,north,$1518.00
3389,pink morsel,2018-06-07,south,$1572.00
3390,pink morsel,2018-06-07,east,$1785.00
3391,pink morsel,2018-06-07,west,$1557.00
3416,pink morsel,2018-06-08,north,$1719.00
3417,pink morsel,2018-06-08,south,$1677.00
3418,pink morsel,2018-06-08,east,$1695.00
3419,pink morsel,2018-06-08,west,$1602.00
3444,pink morsel,2018-06-09,north,$1782.00
3445,pink morsel,2018-06-09,south,$1773.00
3446,pink morsel,2018-06-09,east,$1656.00
3447,pink morsel,2018-06-09,west,$1665.00
3472,pink morsel,2018-06-10,north,$1578.00
3473,pink morsel,2018-06-10,south,$1641.00
3474,pink morsel,2018-06-10,east,$1737.00
3475,pink morsel,2018-06-10,west,$1557.00
3500,pink morsel,2018-06-11,north,$1788.00
3501,pink morsel,2018-06-11,south,$1677.00
3502,pink morsel,2018-06-11,east,$1698.00
3503,pink morsel,2018-06-11,west,$1728.00
3528,pink morsel,2018-06-12,north,$1776.00
3529,pink morsel,2018-06-12,south,$1551.00
3530,pink morsel,2018-06-12,east,$1548.00
3531,pink morsel,2018-06-12,west,$1542.00
3556,pink morsel,2018-06-13,north,$1683.00
3557,pink morsel,2018-06-13,south,$1683.00
3558,pink morsel,2018-06-13,east,$1572.00
3559,pink morsel,2018-06-13,west,$1683.00
3584,pink morsel,2018-06-14,north,$1761.00
3585,pink morsel,2018-06-14,south,$1668.00
3586,pink morsel,2018-06-14,east,$1599.00
3587,pink morsel,2018-06-14,west,$1593.00
3612,pink morsel,2018-06-15,north,$1623.00
3613,pink morsel,2018-06-15,south,$1737.00
3614,pink morsel,2018-06-15,east,$1593.00
3615,pink morsel,2018-06-15,west,$1788.00
3640,pink morsel,2018-06-16,north,$1659.00
3641,pink morsel,2018-06-16,south,$1641.00
3642,pink morsel,2018-06-16,east,$1575.00
3643,pink morsel,2018-06-16,west,$1611.00
3668,pink morsel,2018-06-17,north,$1599.00
3669,pink morsel,2018-06-17,south,$1530.00
3670,pink morsel,2018-06-17,east,$1608.00
3671,pink morsel,2018-06-17,west,$1626.00
3696,pink morsel,2018-06-18,north,$1530.00
3697,pink morsel,2018-06-18,south,$1707.00
3698,pink morsel,2018-06-18,east,$1611.00
3699,pink morsel,2018-06-18,west,$1635.00
3724,pink morsel,2018-06-19,north,$1593.00
3725,pink morsel,2018-06-19,south,$1749.00
3726,pink morsel,2018-06-19,east,$1623.00
3727,pink morsel,2018-06-19,west,$1608.00
3752,pink morsel,2018-06-20,north,$1665.00
3753,pink morsel,2018-06-20,south,$1659.00
3754,pink morsel,2018-06-20,east,$1734.00
3755,pink morsel,2018-06-20,west,$1557.00
3780,pink morsel,2018-06-21,north,$1797.00
3781,pink morsel,2018-06-21,south,$1587.00
3782,pink morsel,2018-06-21,east,$1557.00
3783,pink morsel,2018-06-21,west,$1542.00
3808,pink morsel,2018-06-22,north,$1743.00
3809,pink morsel,2018-06-22,south,$1797.00
3810,pink morsel,2018-06-22,east,$1686.00
3811,pink morsel,2018-06-22,west,$1683.00
3836,pink morsel,2018-06-23,north,$1791.00
3837,pink morsel,2018-06-23,south,$1554.00
3838,pink morsel,2018-06-23,east,$1695.00
3839,pink morsel,2018-06-23,west,$1566.00
3864,pink morsel,2018-06-24,north,$1563.00
3865,pink morsel,2018-06-24,south,$1623.00
3866,pink morsel,2018-06-24,east,$1530.00
3867,pink morsel,2018-06-24,west,$1662.00
3892,pink morsel,2018-06-25,north,$1650.00
3893,pink morsel,2018-06-25,south,$1602.00
3894,pink morsel,2018-06-25,east,$1548.00
3895,pink morsel,2018-06-25,west,$1623.00
3920,pink morsel,2018-06-26,north,$1728.00
3921,pink morsel,2018-06-26,south,$1533.00
3922,pink morsel,2018-06-26,east,$1503.00
3923,pink morsel,2018-06-26,west,$1629.00
3948,pink morsel,2018-06-27,north,$1581.00
3949,pink morsel,2018-06-27,south,$1659.00
3950,pink morsel,2018-06-27,east,$1707.00
3951,pink morsel,2018-06-27,west,$1665.00
3976,pink morsel,2018-06-28,north,$1563.00
3977,pink morsel,2018-06-28,south,$1638.00
3978,pink morsel,2018-06-28,east,$1692.00
3979,pink morsel,2018-06-28,west,$1503.00
4004,pink morsel,2018-06-29,north,$1686.00
4005,pink morsel,2018-06-29,south,$1764.00
4006,pink morsel,2018-06-29,east,$1629.00
4007,pink morsel,2018-06-29,west,$1779.00
4032,pink morsel,2018-06-30,north,$1554.00
4033,pink morsel,2018-06-30,south,$1653.00
4034,pink morsel,2018-06-30,east,$1515.00
4035,pink morsel,2018-06-30,west,$1557.00
4060,pink morsel,2018-07-01,north,$1746.00
4061,pink morsel,2018-07-01,south,$1671.00
4062,pink morsel,2018-07-01,east,$1716.00
4063,pink morsel,2018-07-01,west,$1554.00
4088,pink morsel,2018-07-02,north,$1695.00
4089,pink morsel,2018-07-02,south,$1611.00
4090,pink morsel,2018-07-02,east,$1680.00
4091,pink morsel,2018-07-02,west,$1671.00
